127.0.0.1, 2024-04-02 02:16:49, GET, /admin/default/ticket/welcome/127.0.0.1.2024-04-02.02-16-42.1ff71c18-b26e-463d-addb-5944c4791810, HTTP/1.1, 200, 0.079687
127.0.0.1, 2024-04-02 02:16:50, GET, /favicon.ico, HTTP/1.1, 400, 0.001760
127.0.0.1, 2024-04-02 02:17:11, GET, /welcome/courses/get_courses, HTTP/1.1, 200, 0.062502
127.0.0.1, 2024-04-02 02:17:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-04-02 02:23:05, GET, /welcome/courses/get_courses, HTTP/1.1, 200, 0.701793
127.0.0.1, 2024-04-02 02:23:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000999
127.0.0.1, 2024-04-02 02:38:47, GET, /, HTTP/1.1, 303, 0.006001
127.0.0.1, 2024-04-02 02:38:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.523312
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.013361
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.015357
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.098527
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.081191
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.132228
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.119787
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.087207
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.154149
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.035305
127.0.0.1, 2024-04-02 02:38:48, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.001003
127.0.0.1, 2024-04-02 02:38:49, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.010051
127.0.0.1, 2024-04-02 02:39:04, GET, /welcome/courses/get_courses, HTTP/1.1, 500, 4.326231
127.0.0.1, 2024-04-02 02:39:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/default/ticket/welcome/127.0.0.1.2024-04-02.02-39-00.d33676b8-1439-494b-9736-8f02fe8daa92, HTTP/1.1, 303, 0.349808
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/default/index, HTTP/1.1, 200, 0.142607
127.0.0.1, 2024-04-02 02:39:08, GET, /admin/static/_2.24.1/css/calendar.css, HTTP/1.1, 200, 0.014001
